model,seed,epoch,train_loss,HR@10,NDCG@10
GMF,0,0,,0.1145281046628952,0.05050432106072348
GMF,0,1,0.43775403181915146,0.3828207850456238,0.20474592725581545
GMF,0,2,0.3519790063067023,0.3913043439388275,0.21267873429006814
GMF,0,3,0.34587347895975595,0.4231176972389221,0.23157613988849157
GMF,0,4,0.32547919738938347,0.4899257719516754,0.27696239257766425
GMF,0,5,0.30182514510986375,0.5270413756370544,0.29106915971691544
GMF,0,6,0.29244970536130904,0.5376458168029785,0.29597566060819447
GMF,0,7,0.285614120868381,0.5440084934234619,0.3053359498838436
GMF,0,8,0.27963648493359883,0.5768823027610779,0.3190295350798507
GMF,0,9,0.2722007623881719,0.5959703326225281,0.3323094848040415
GMF,0,10,0.2665434832729746,0.6055142879486084,0.3408392464482458
GMF,0,11,0.26000243844947957,0.6267232298851013,0.34788966324218773
GMF,0,12,0.2555809587175216,0.628844141960144,0.35102660869159286
GMF,0,13,0.250886676936894,0.6405090093612671,0.35960418625442364
GMF,0,14,0.24758870646585046,0.6436903476715088,0.35828415774107203
GMF,0,15,0.24533469718785933,0.6500530242919922,0.3624726484965906
GMF,0,16,0.24338372815372644,0.6352067589759827,0.3623985101920691
GMF,0,17,0.24249495448588324,0.6489925980567932,0.36745402294732005
GMF,0,18,0.24154157460587591,0.6585366129875183,0.37038255691932953
GMF,0,19,0.2416663899993742,0.6542947888374329,0.3714107663375051
GMF,0,20,0.2397445106858943,0.6532343626022339,0.37869652052099084
MLP,0,0,,0.09119830280542374,0.04236924791256744
MLP,0,1,0.3711420501232497,0.4581124186515808,0.33515218446598893
MLP,0,2,0.3247642447880561,0.553552508354187,0.32094257080759875
MLP,0,3,0.2917492094415014,0.6023330092430115,0.3459599556268025
MLP,0,4,0.27342167815639024,0.598091185092926,0.3531300593660287
MLP,0,5,0.2623489143595357,0.6086956262588501,0.35896474604915374
MLP,0,6,0.25490673277124243,0.6373276710510254,0.3680566566833596
MLP,0,7,0.2475083682836068,0.619300127029419,0.3678580200288148
MLP,0,8,0.24243696226223552,0.6383880972862244,0.3745172685555929
MLP,0,9,0.23642596826845771,0.628844141960144,0.3716735718166542
MLP,0,10,0.2318461678524413,0.6489925980567932,0.38365195108900024
MLP,0,11,0.2260481150970867,0.6383880972862244,0.3769586283011314
MLP,0,12,0.2229822645151997,0.6479321122169495,0.38115716745690675
MLP,0,13,0.218952442646916,0.630964994430542,0.37762733549641697
MLP,0,14,0.2151388967329046,0.6436903476715088,0.37595940830111646
MLP,0,15,0.21199560405928247,0.629904568195343,0.3788685754573805
MLP,0,16,0.20948244050401213,0.6235418915748596,0.3805489169360492
MLP,0,17,0.20704323119957607,0.6447507739067078,0.38347079244132337
MLP,0,18,0.20406999761868183,0.6500530242919922,0.3962050264965553
MLP,0,19,0.2024770340340519,0.6373276710510254,0.38683537988103095
MLP,0,20,0.19891239671111363,0.6511134505271912,0.39398200030477376
NeuMF,0,0,,0.09968186914920807,0.04283319903348182
NeuMF,0,1,0.3535768527224948,0.5047720074653625,0.27563914461995637
NeuMF,0,2,0.2950640945928641,0.5630965232849121,0.3157307596257834
NeuMF,0,3,0.2736798388430615,0.6076352000236511,0.3422064082149036
NeuMF,0,4,0.2577150405931335,0.6150583028793335,0.35316904675272176
NeuMF,0,5,0.24688926479264192,0.6352067589759827,0.360314601002045
NeuMF,0,6,0.2380849456118612,0.629904568195343,0.3648384607658386
NeuMF,0,7,0.22978757777225617,0.6447507739067078,0.3702488836961599
NeuMF,0,8,0.22384057211997901,0.6362672448158264,0.3711021985797444
NeuMF,0,9,0.21736829728984652,0.6447507739067078,0.37903390062786824
NeuMF,0,10,0.21200612228872007,0.6564157009124756,0.38334451100989847
NeuMF,0,11,0.2064558151615408,0.6564157009124756,0.38633827774033
NeuMF,0,12,0.2026002551966102,0.6542947888374329,0.39506342780703857
NeuMF,0,13,0.19814766145431448,0.66171795129776,0.38466136801048917
NeuMF,0,14,0.19394177071885182,0.6500530242919922,0.38799722752377247
NeuMF,0,15,0.19045998799502467,0.6468716859817505,0.3921910802346105
NeuMF,0,16,0.18737426862148876,0.6458112597465515,0.3902819577275216
NeuMF,0,17,0.18441094305826233,0.6394485831260681,0.38296429517516994
NeuMF,0,18,0.18147036419165305,0.6479321122169495,0.38767208660384594
NeuMF,0,19,0.17951772641630906,0.628844141960144,0.3786396015298149
NeuMF,0,20,0.17636314297942524,0.6394485831260681,0.3807410396823393
GMF,1,0,,0.11558854579925537,0.05150265162899409
GMF,1,1,0.4375253748514169,0.3860021233558655,0.20545161899988612
GMF,1,2,0.3522340774984471,0.4008483588695526,0.2143685750616501
GMF,1,3,0.3427922932962706,0.4432661831378937,0.24368337501629755
GMF,1,4,0.3245542603608318,0.49522799253463745,0.27252382196677444
GMF,1,5,0.3082722735817585,0.5302227139472961,0.2876933004753677
GMF,1,6,0.29405680448263366,0.5408271551132202,0.29420227124218395
GMF,1,7,0.28626813503343684,0.5577942728996277,0.3051417037378962
GMF,1,8,0.2789168561546418,0.5705196261405945,0.3148956464093661
GMF,1,9,0.27277622717086647,0.5832449793815613,0.32617076316262944
GMF,1,10,0.26561464378640437,0.6012725234031677,0.3359924325377964
GMF,1,11,0.260069231823265,0.6150583028793335,0.3480865216512396
GMF,1,12,0.25494820379216027,0.6235418915748596,0.3535978016371008
GMF,1,13,0.2504766816942915,0.628844141960144,0.35291705660008454
GMF,1,14,0.24781349488789622,0.6394485831260681,0.36243175545291284
GMF,1,15,0.24540348184709676,0.6362672448158264,0.3641914911375962
GMF,1,16,0.24330786540823346,0.6383880972862244,0.3637085265347537
GMF,1,17,0.24125245615457536,0.6447507739067078,0.3680501737337329
GMF,1,18,0.24081446535299547,0.6447507739067078,0.37007921478594014
GMF,1,19,0.2395920168579039,0.6532343626022339,0.37056389691064845
GMF,1,20,0.23932494383195124,0.6511134505271912,0.3707791537000518
