seed,K,HR@K,NDCG@K
0,1,0.17709438502788544,0.17709437963944857
0,2,0.2704135775566101,0.23597223575216147
0,3,0.35206785798072815,0.27679938315407027
0,4,0.4209968149662018,0.3064854661601896
0,5,0.47932130098342896,0.3290484612799137
0,6,0.52173912525177,0.34415799201620306
0,7,0.555673360824585,0.3554694094782037
0,8,0.5821844935417175,0.36383274131239596
0,9,0.6118769645690918,0.37277106567993734
0,10,0.6394485831260681,0.3807410396823393
1,1,0.17285259068012238,0.1728525980911983
1,2,0.2969247102737427,0.2511333840592371
1,3,0.3722163438796997,0.28877919529995816
1,4,0.4241781532764435,0.311157934796879
1,5,0.4878048896789551,0.3357721112911233
1,6,0.5249204635620117,0.34899295068537656
1,7,0.5683987140655518,0.3634857043085649
1,8,0.6023330092430115,0.3741907690563309
1,9,0.6256628036499023,0.38121373820225624
1,10,0.6532343626022339,0.38918371220465825
2,1,0.17285259068012238,0.1728525980911983
2,2,0.26617178320884705,0.23173045420391122
2,3,0.3499469757080078,0.2736180469928826
2,4,0.41569459438323975,0.30193400309102725
2,5,0.4718981981277466,0.3236765256609431
2,6,0.520678699016571,0.34105248600767585
2,7,0.5524920225143433,0.3516569398783016
2,8,0.5917285084724426,0.364034670992906
2,9,0.6267232298851013,0.37456912471179393
2,10,0.6564157009124756,0.3831521736374577
3,1,0.19194062054157257,0.1919406150583245
3,2,0.29798516631126404,0.2588472697318619
3,3,0.36797454953193665,0.2938419675049266
3,4,0.4262990355491638,0.3189609608177968
3,5,0.4772004187107086,0.33865230201319235
3,6,0.5281018018722534,0.35678373889673953
3,7,0.555673360824585,0.36597426558461515
3,8,0.5896076560020447,0.3766793303323811
3,9,0.6150583028793335,0.3843407512188451
3,10,0.6415694355964661,0.39200418775961626
4,1,0.1781548261642456,0.17815482502651114
4,2,0.29162248969078064,0.24974494552719617
4,3,0.3785789906978607,0.29322320639676136
4,4,0.45705196261405945,0.32701967012680494
4,5,0.4973488748073578,0.34260864857315965
4,6,0.5344644784927368,0.3558294879674129
4,7,0.5662778615951538,0.36643394183803857
4,8,0.5959703326225281,0.37580087349233393
4,9,0.6214209794998169,0.3834622943787978
4,10,0.6436903476715088,0.3898995810730456
5,1,0.17073170840740204,0.17073170731707318
5,2,0.30434781312942505,0.2550340922057303
5,3,0.370095431804657,0.2879078992046698
5,4,0.4358430504798889,0.31622385530281444
5,5,0.4941675364971161,0.33878685042253853
5,6,0.5334040522575378,0.3527631663536062
5,7,0.5737009644508362,0.366195474589732
5,8,0.6171792149543762,0.3799113387978072
5,9,0.6447507739067078,0.38821121142480985
5,10,0.6723223924636841,0.3961811854272119
6,1,0.18875928223133087,0.18875927889713678
6,2,0.30752915143966675,0.2636947321314987
6,3,0.3817603290081024,0.3008103206786885
6,4,0.440084844827652,0.3259293139915587
6,5,0.4941675364971161,0.3468513640116665
6,6,0.5281018018722534,0.358938988600698
6,7,0.5662778615951538,0.37166433324544884
6,8,0.5949098467826843,0.3806967316263763
6,9,0.6203605532646179,0.3883581525128403
6,10,0.6511134505271912,0.3972477389001349
7,1,0.17603392899036407,0.176033934252386
7,2,0.2831389307975769,0.2436096554726588
7,3,0.3626723289489746,0.28337635748750495
7,4,0.4305408298969269,0.31260573152429943
7,5,0.4740190804004669,0.3294254187953665
7,6,0.5196182131767273,0.3456681643368776
7,7,0.5588546991348267,0.3587469907773158
7,8,0.597030758857727,0.3707901886185526
7,9,0.6224814653396606,0.3784516095050166
7,10,0.6447507739067078,0.3848888961992643
8,1,0.18239660561084747,0.1823966065747614
8,2,0.2799575924873352,0.2439507288744158
8,3,0.37115588784217834,0.28954988051810615
8,4,0.440084844827652,0.3192359635242255
8,5,0.4931071102619171,0.33974777726942923
8,6,0.5365853905677795,0.3552350462741258
8,7,0.5694591999053955,0.366192981940439
8,8,0.5853658318519592,0.37121098104095435
8,9,0.6129374504089355,0.37951085366795695
8,10,0.6330859065055847,0.38533506543894297
9,1,0.2004241794347763,0.20042417815482502
9,2,0.31707316637039185,0.2740214982957162
9,3,0.3722163438796997,0.3015930783593429
9,4,0.4422057271003723,0.33173587033478713
9,5,0.4899257719516754,0.3501965027054705
9,6,0.5334040522575378,0.3656837717101671
9,7,0.5737009644508362,0.37911607994629287
9,8,0.6055142879486084,0.3891520781473235
9,9,0.628844141960144,0.3961750472932488
9,10,0.6553552746772766,0.40383848383402
