seed,technique,HR@10,NDCG@10,num_parameters
0,teacher,0.6394485831260681,0.3807410396823393,107761
0,response,0.6458112597465515,0.3762526793018977,53177
0,feature,0.5683987140655518,0.3184616675211384,53177
0,relation,0.6246023178100586,0.3565504539877984,53177
1,teacher,0.6532343626022339,0.38918371220465825,107761
1,response,0.6383880972862244,0.3681532657656729,53177
1,feature,0.6044538617134094,0.3452584445561786,53177
1,relation,0.6214209794998169,0.3619633490013766,53177
2,teacher,0.6564157009124756,0.3831521736374577,107761
2,response,0.6511134505271912,0.3805669323753368,53177
2,feature,0.5609756112098694,0.31957727931978985,53177
2,relation,0.6235418915748596,0.36534405499811035,53177
3,teacher,0.6415694355964661,0.39200418775961626,107761
3,response,0.6532343626022339,0.3722839947290435,53177
3,feature,0.5991516709327698,0.3467193374495849,53177
3,relation,0.6532343626022339,0.37186589555105604,53177
4,teacher,0.6436903476715088,0.3898995810730456,107761
4,response,0.6574761271476746,0.3853068585567508,53177
4,feature,0.5843054056167603,0.3404847956915382,53177
4,relation,0.6246023178100586,0.3634926567577194,53177
5,teacher,0.6723223924636841,0.3961811854272119,107761
5,response,0.6733828186988831,0.3863688789813782,53177
5,feature,0.6033934354782104,0.34074699414317167,53177
5,relation,0.6511134505271912,0.37805954636315253,53177
6,teacher,0.6511134505271912,0.3972477389001349,107761
6,response,0.663838803768158,0.38568294653363067,53177
6,feature,0.5705196261405945,0.32427494991911754,53177
6,relation,0.6267232298851013,0.36877315970318875,53177
7,teacher,0.6447507739067078,0.3848888961992643,107761
7,response,0.6585366129875183,0.3827034929255195,53177
7,feature,0.5737009644508362,0.31875762701892935,53177
7,relation,0.6383880972862244,0.36692552963514824,53177
8,teacher,0.6330859065055847,0.38533506543894297,107761
8,response,0.6489925980567932,0.3679912827950881,53177
8,feature,0.5609756112098694,0.3199105089560648,53177
8,relation,0.6076352000236511,0.3502684932469982,53177
9,teacher,0.6553552746772766,0.40383848383402,107761
9,response,0.6595970392227173,0.3772502324149466,53177
9,feature,0.5896076560020447,0.3274930058720855,53177
9,relation,0.6246023178100586,0.3596964014467864,53177
